# fixed mirror figure, mode=medial, layout=axicon
# generated 2026-08-14 by scripts/run_axicon_medial_buie.py: R = 4 FtFs/(Ft+Fs), the medial-power sphere; analytic, sun-independent
# spherical (R = 2 Ft) is the reference this competes against; see fixed_shapes_axicon_spherical.csv
heliostat,x_mm,y_mm,c3,c4,c5
0,2940.51420988683,-29855.541800165898,0.0,-1.4549494595437439e-06,0.0
1,8708.540317633871,-28708.2100719662,0.0,-1.4549494595437456e-06,0.0
2,14141.9021047799,-26457.637930450597,0.0,-1.4549494595437456e-06,0.0
3,19031.7985249093,-23190.3136008821,0.0,-1.4549494595437452e-06,0.0
4,23190.3136008821,-19031.7985249093,0.0,-1.4549494595437452e-06,0.0
5,26457.637930450597,-14141.9021047799,0.0,-1.4549494595437456e-06,0.0
6,28708.2100719662,-8708.54031763386,0.0,-1.4549494595437452e-06,0.0
7,29855.541800165898,-2940.51420988681,0.0,-1.4549494595437439e-06,0.0
8,29855.541800165898,2940.51420988682,0.0,-1.4549494595437439e-06,0.0
9,28708.2100719662,8708.540317633871,0.0,-1.4549494595437456e-06,0.0
10,26457.637930450597,14141.9021047799,0.0,-1.4549494595437456e-06,0.0
11,23190.3136008821,19031.7985249093,0.0,-1.4549494595437452e-06,0.0
12,19031.7985249093,23190.3136008821,0.0,-1.4549494595437452e-06,0.0
13,14141.9021047799,26457.637930450597,0.0,-1.4549494595437456e-06,0.0
14,8708.540317633871,28708.2100719662,0.0,-1.4549494595437456e-06,0.0
15,2940.51420988681,29855.541800165898,0.0,-1.4549494595437439e-06,0.0
16,-2940.51420988681,29855.541800165898,0.0,-1.4549494595437439e-06,0.0
17,-8708.540317633871,28708.2100719662,0.0,-1.4549494595437456e-06,0.0
18,-14141.9021047799,26457.637930450597,0.0,-1.4549494595437456e-06,0.0
19,-19031.7985249093,23190.3136008821,0.0,-1.4549494595437452e-06,0.0
20,-23190.3136008821,19031.7985249093,0.0,-1.4549494595437452e-06,0.0
21,-26457.637930450597,14141.9021047799,0.0,-1.4549494595437456e-06,0.0
22,-28708.2100719662,8708.540317633871,0.0,-1.4549494595437456e-06,0.0
23,-29855.541800165898,2940.51420988681,0.0,-1.4549494595437439e-06,0.0
24,-29855.541800165898,-2940.51420988681,0.0,-1.4549494595437439e-06,0.0
25,-28708.2100719662,-8708.54031763386,0.0,-1.4549494595437452e-06,0.0
26,-26457.637930450597,-14141.9021047799,0.0,-1.4549494595437456e-06,0.0
27,-23190.3136008821,-19031.7985249093,0.0,-1.4549494595437452e-06,0.0
28,-19031.7985249093,-23190.3136008821,0.0,-1.4549494595437452e-06,0.0
29,-14141.9021047799,-26457.637930450597,0.0,-1.4549494595437456e-06,0.0
30,-8708.540317633871,-28708.2100719662,0.0,-1.4549494595437456e-06,0.0
31,-2940.51420988681,-29855.541800165898,0.0,-1.4549494595437439e-06,0.0
32,2.1440270314032197e-12,-35014.618629566896,0.0,-1.3368290142460833e-06,0.0
33,6831.01322371415,-34341.822550811994,0.0,-1.336829014246082e-06,0.0
